,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
247,0021800120,370,2,1,3,9:24 PM,7:50,,,MISS Bogdanovic 26' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
23,0021800127,34,2,79,1,7:15 PM,9:19,MISS Bogdanovic 13' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
54,0021800127,71,2,1,1,7:18 PM,6:44,MISS Bogdanovic  3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
212,0021800127,298,2,1,2,7:57 PM,3:15,MISS Bogdanovic 24' 3PT Jump Shot,,Horford BLOCK (1 BLK),,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,5,201143,Al Horford,1610612738.0,Boston,Celtics,BOS
254,0021800127,366,1,80,3,8:23 PM,9:43,Bogdanovic 19' Step Back Jump Shot (7 PTS) (Collison 3 AST),,,51 - 51,TIE,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
259,0021800127,372,2,1,3,8:23 PM,9:04,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
277,0021800127,395,1,1,3,8:26 PM,7:01,Bogdanovic 28' 3PT Jump Shot (10 PTS) (Young 5 AST),,,55 - 58,3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201152,Thaddeus Young,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
290,0021800127,417,1,79,3,8:31 PM,5:40,Bogdanovic 7' Pullup Jump Shot (12 PTS),,,57 - 60,3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
428,0021800127,611,1,1,4,9:10 PM,1:53,Bogdanovic 25' 3PT Jump Shot (16 PTS) (Sabonis 5 AST),,,94 - 95,1,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
52,0021800141,79,1,79,1,7:27 PM,5:40,Bogdanovic 27' 3PT Pullup Jump Shot (5 PTS),,,21 - 16,-5,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
202,0021800141,290,2,1,2,8:01 PM,1:07,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
257,0021800141,364,2,79,3,8:31 PM,5:48,MISS Bogdanovic 29' 3PT Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
395,0021800141,558,2,1,4,9:10 PM,2:08,MISS Bogdanovic 24' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
126,0021800157,183,2,80,2,8:47 PM,10:40,MISS Bogdanovic 9' Step Back Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
141,0021800157,201,1,1,2,8:50 PM,8:43,Bogdanovic  3PT Jump Shot (3 PTS) (Sabonis 2 AST),,,33 - 30,-3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
199,0021800157,286,2,1,2,9:02 PM,2:45,MISS Bogdanovic 24' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
242,0021800157,349,2,1,3,9:29 PM,11:02,MISS Bogdanovic 29' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
364,0021800157,525,1,2,4,10:07 PM,10:13,Bogdanovic 9' Running Jump Shot (7 PTS),,,84 - 75,-9,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
401,0021800157,585,2,79,4,10:18 PM,6:28,MISS Bogdanovic 13' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
419,0021800157,610,1,1,4,10:20 PM,5:10,Bogdanovic  3PT Jump Shot (10 PTS) (Oladipo 5 AST),,,94 - 80,-14,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
429,0021800157,626,2,1,4,10:25 PM,3:47,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
440,0021800157,640,1,1,4,10:27 PM,2:05,Bogdanovic 25' 3PT Jump Shot (13 PTS) (Joseph 4 AST),,,98 - 90,-8,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
19,0021800170,30,2,1,1,8:17 PM,9:45,,,MISS Bogdanovic 23' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
37,0021800170,54,1,79,1,8:21 PM,7:52,,,Bogdanovic 15' Pullup Jump Shot (2 PTS),4 - 3,-1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
58,0021800170,82,1,1,1,8:27 PM,5:54,,,Bogdanovic 25' 3PT Jump Shot (7 PTS) (Collison 1 AST),11 - 8,-3,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
268,0021800170,405,2,1,3,9:40 PM,9:06,,,MISS Bogdanovic 24' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
279,0021800170,421,1,80,3,9:42 PM,7:35,,,Bogdanovic 15' Step Back Jump Shot (10 PTS),63 - 64,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
309,0021800170,459,1,1,3,9:48 PM,5:21,,,Bogdanovic 26' 3PT Jump Shot (13 PTS) (Oladipo 5 AST),68 - 69,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
468,0021800170,687,1,1,4,10:37 PM,0:56,,,Bogdanovic 25' 3PT Jump Shot (16 PTS) (Oladipo 10 AST),103 - 102,-1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
53,0021800185,91,1,1,1,7:25 PM,5:30,,,Bogdanovic 27' 3PT Jump Shot (3 PTS) (Oladipo 2 AST),16 - 17,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
100,0021800185,157,1,1,1,7:36 PM,1:43,,,Bogdanovic 26' 3PT Jump Shot (8 PTS) (Sabonis 1 AST),26 - 26,TIE,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
234,0021800185,352,2,79,3,8:28 PM,11:13,,,MISS Bogdanovic 14' Pullup Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
333,0021800185,479,1,79,3,8:53 PM,0:27,,,Bogdanovic 14' Pullup Jump Shot (13 PTS) (Joseph 2 AST),81 - 102,21,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
343,0021800185,497,2,1,4,8:57 PM,11:02,,,MISS Bogdanovic 24' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
354,0021800185,512,2,1,4,8:59 PM,9:27,,,MISS Bogdanovic 25' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
398,0021800185,574,1,1,4,9:10 PM,4:39,,,Bogdanovic 28' 3PT Jump Shot (20 PTS) (Oladipo 7 AST),99 - 109,10,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
16,0021800217,31,1,1,1,7:14 PM,8:57,Bogdanovic  3PT Jump Shot (5 PTS) (Oladipo 2 AST),,,12 - 10,-2,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
39,0021800217,60,2,79,1,7:17 PM,6:16,MISS Bogdanovic 16' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
56,0021800217,85,2,1,1,7:23 PM,4:45,MISS Bogdanovic  3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
250,0021800217,348,2,1,3,8:23 PM,9:41,MISS Bogdanovic 27' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
257,0021800217,358,1,79,3,8:24 PM,8:55,Bogdanovic 25' 3PT Pullup Jump Shot (10 PTS) (Oladipo 4 AST),,,47 - 53,6,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
171,0021800226,261,2,80,2,7:49 PM,7:25,MISS Bogdanovic 18' Step Back Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
220,0021800226,333,1,1,2,8:02 PM,2:48,Bogdanovic  3PT Jump Shot (12 PTS) (Leaf 1 AST),,,44 - 47,3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1628388,TJ Leaf,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
230,0021800226,349,2,79,2,8:05 PM,2:19,MISS Bogdanovic 7' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
276,0021800226,420,1,1,3,8:31 PM,9:49,Bogdanovic  3PT Jump Shot (15 PTS) (Turner 2 AST),,,61 - 55,-6,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
285,0021800226,433,2,1,3,8:32 PM,9:00,MISS Bogdanovic 28' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
431,0021800226,649,2,1,4,9:07 PM,6:55,MISS Bogdanovic 28' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
445,0021800226,667,2,78,4,9:09 PM,5:28,MISS Bogdanovic  Floating Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
470,0021800226,710,1,79,4,9:17 PM,3:13,Bogdanovic 27' 3PT Pullup Jump Shot (20 PTS) (Holiday 2 AST),,,81 - 94,13,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1628988,Aaron Holiday,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
26,0021800241,45,1,79,1,7:15 PM,8:20,Bogdanovic 19' Pullup Jump Shot (4 PTS) (Evans 2 AST),,,8 - 6,-2,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201936,Tyreke Evans,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
49,0021800241,81,1,80,1,7:22 PM,6:05,Bogdanovic 27' 3PT Step Back Jump Shot (7 PTS) (Evans 4 AST),,,10 - 12,2,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201936,Tyreke Evans,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
51,0021800241,85,2,1,1,7:22 PM,5:52,MISS Bogdanovic 25' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
156,0021800241,244,1,79,2,7:52 PM,6:35,Bogdanovic 14' Pullup Jump Shot (9 PTS) (Collison 2 AST),,,30 - 45,15,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
167,0021800241,264,2,78,2,7:54 PM,5:40,MISS Bogdanovic 10' Floating Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
242,0021800241,377,1,79,3,8:26 PM,9:09,Bogdanovic 27' 3PT Pullup Jump Shot (14 PTS),,,50 - 62,12,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
356,0021800241,551,1,1,4,8:55 PM,6:24,Bogdanovic 28' 3PT Jump Shot (21 PTS) (Joseph 3 AST),,,81 - 102,21,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
