Rk,Player,From,To,Tm,Lg,G,BPM,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James,2006,2018,TOT,NBA,235,11,235,9870,2408,4913,2044,3815,364,1098,1595,2153,357,1731,2088,1647,414,228,846,558,6775,0.49,0.536,0.332,0.527,0.741,0.578
2,Michael Jordan,1985,1998,CHI,NBA,179,10.1,179,7474,2188,4497,2040,4051,148,446,1463,1766,305,847,1152,1022,376,158,546,541,5987,0.487,0.504,0.332,0.503,0.828,0.568
3,Chris Paul,2008,2018,TOT,NBA,91,8.2,91,3403,711,1481,557,1075,154,406,370,438,68,381,449,805,198,11,236,279,1946,0.48,0.518,0.379,0.532,0.845,0.581
4,Stephen Curry,2013,2018,GSW,NBA,86,7.5,84,3227,752,1652,396,778,356,874,378,425,71,377,448,551,151,23,313,203,2238,0.455,0.509,0.407,0.563,0.889,0.608
5,Magic Johnson,1980,1996,LAL,NBA,190,7.4,117,7538,1291,2552,1240,2340,51,212,1068,1274,349,1116,1465,2346,358,64,696,524,3701,0.506,0.53,0.241,0.516,0.838,0.595
6,Charles Barkley,1985,1999,TOT,NBA,123,7.3,108,4849,1009,1965,945,1714,64,251,751,1048,510,1072,1582,482,193,108,353,408,2833,0.513,0.551,0.255,0.53,0.717,0.584
7,Hakeem Olajuwon,1985,2002,TOT,NBA,145,7.1,140,5749,1504,2847,1500,2829,4,18,743,1034,471,1150,1621,458,245,472,424,562,3755,0.528,0.53,0.222,0.529,0.719,0.569
8,Russell Westbrook,2010,2018,OKC,NBA,93,7,93,3523,821,1986,692,1556,129,430,604,719,175,466,641,725,179,25,367,265,2375,0.413,0.445,0.3,0.446,0.84,0.516
9,Larry Bird,1980,1992,BOS,NBA,164,6.9,95,6886,1458,3090,1378,2841,80,249,901,1012,360,1323,1683,1062,296,145,506,466,3897,0.472,0.485,0.321,0.485,0.89,0.551
10,Kawhi Leonard,2012,2017,SAS,NBA,87,6.9,87,2908,523,1017,398,724,125,293,261,325,145,491,636,169,147,55,122,189,1432,0.514,0.55,0.427,0.576,0.803,0.617
11,Draymond Green,2013,2018,GSW,NBA,97,6.8,83,3360,411,956,282,566,129,390,256,346,174,728,902,533,157,141,237,355,1207,0.43,0.498,0.331,0.497,0.74,0.545
12,Baron Davis,2000,2012,TOT,NBA,50,6.7,46,1851,329,745,230,462,99,283,185,261,49,164,213,311,114,24,131,177,942,0.442,0.498,0.35,0.508,0.709,0.548
13,Isiah Thomas,1984,1992,DET,NBA,111,6.4,104,4216,825,1869,744,1635,81,234,530,689,134,390,524,987,234,38,369,363,2261,0.441,0.455,0.346,0.463,0.769,0.52
14,David Robinson,1990,2003,SAS,NBA,123,6.3,123,4221,768,1604,767,1594,1,10,684,966,367,934,1301,280,151,312,280,423,2221,0.479,0.481,0.1,0.479,0.708,0.547
15,James Harden,2010,2018,TOT,NBA,105,6.2,62,3650,684,1629,454,923,230,706,708,812,74,474,548,577,181,47,348,319,2306,0.42,0.492,0.326,0.49,0.872,0.58
16,Tracy McGrady,2000,2013,TOT,NBA,50,6.1,38,1724,397,933,341,740,56,193,259,342,63,223,286,249,53,47,134,93,1109,0.426,0.461,0.29,0.456,0.757,0.512
17,Clyde Drexler,1984,1998,TOT,NBA,145,5.9,140,5572,1076,2408,935,1919,141,489,670,851,359,643,1002,891,278,108,397,486,2963,0.447,0.487,0.288,0.476,0.787,0.532
18,Jared Dudley,2010,2015,TOT,NBA,29,5.9,0,532,57,127,21,48,36,79,21,35,18,59,77,38,31,8,14,54,171,0.449,0.438,0.456,0.591,0.6,0.6
19,Tim Duncan,1998,2016,SAS,NBA,251,5.9,251,9370,1975,3939,1970,3904,5,35,1217,1766,778,2081,2859,764,168,568,633,701,5172,0.501,0.505,0.143,0.502,0.689,0.548
20,Scottie Pippen,1988,2003,TOT,NBA,208,5.9,200,8105,1335,3009,1135,2349,200,660,772,1067,466,1117,1583,1048,395,185,602,686,3642,0.444,0.483,0.303,0.477,0.724,0.524
Rk,Player,From,To,Tm,Lg,G,BPM,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
21,Larry Nance,2018,2018,CLE,NBA,16,5.6,0,239,32,42,32,41,0,1,9,19,20,42,62,12,14,12,10,28,73,0.762,0.78,0,0.762,0.474,0.725
22,Kevin Durant,2010,2018,TOT,NBA,123,5.3,123,4991,1198,2553,938,1792,260,761,885,1032,111,858,969,473,123,142,386,294,3541,0.469,0.523,0.342,0.52,0.858,0.589
23,Shaquille O'Neal,1994,2011,TOT,NBA,216,5.3,214,8098,2041,3627,2041,3627,0,0,1168,2317,866,1642,2508,582,117,459,649,769,5250,0.563,0.563,,0.563,0.504,0.565
24,Ben Wallace,2002,2009,TOT,NBA,130,5.3,116,4524,364,755,364,745,0,10,211,505,463,991,1454,173,199,250,136,296,939,0.482,0.489,0,0.482,0.418,0.48
25,Manu Ginobili,2003,2018,SAS,NBA,218,5.2,53,6075,956,2209,632,1304,324,905,818,1001,155,719,874,827,292,61,481,588,3054,0.433,0.485,0.358,0.506,0.817,0.576
26,Jason Kidd,1997,2013,TOT,NBA,158,5.1,146,6088,720,1843,484,1110,236,733,367,470,218,840,1058,1263,302,52,450,348,2043,0.391,0.436,0.322,0.455,0.781,0.498
27,Charlie Ward,1996,2004,TOT,NBA,72,5,46,1567,147,348,89,182,58,166,44,62,33,150,183,264,105,10,92,146,396,0.422,0.489,0.349,0.506,0.71,0.528
28,Marc Gasol,2011,2017,MEM,NBA,59,4.8,59,2344,358,794,351,776,7,18,290,361,121,405,526,204,53,103,100,204,1013,0.451,0.452,0.389,0.455,0.803,0.532
29,Robert Horry,1993,2008,TOT,NBA,244,4.8,116,6823,665,1562,404,834,261,728,348,482,410,951,1361,575,276,225,282,717,1939,0.426,0.484,0.359,0.509,0.722,0.546
30,Dwyane Wade,2004,2018,TOT,NBA,177,4.8,172,6697,1450,3062,1347,2757,103,305,951,1220,234,694,928,870,273,175,583,467,3954,0.474,0.489,0.338,0.49,0.78,0.549
31,Derrick Coleman,1992,2003,TOT,NBA,39,4.7,34,1457,230,487,204,413,26,74,170,211,108,278,386,108,30,59,82,111,656,0.472,0.494,0.351,0.499,0.806,0.566
32,Rudy Gobert,2017,2018,UTA,NBA,20,4.7,20,629,95,147,95,147,0,0,59,108,65,142,207,22,19,37,30,64,249,0.646,0.646,,0.646,0.546,0.64
33,Bernard King,1983,1993,TOT,NBA,26,4.7,5,853,248,439,247,435,1,4,138,179,40,70,110,58,20,6,56,84,635,0.565,0.568,0.25,0.566,0.771,0.613
34,Rajon Rondo,2008,2018,TOT,NBA,105,4.7,105,3944,601,1358,564,1230,37,128,232,359,172,469,641,981,201,19,301,266,1471,0.443,0.459,0.289,0.456,0.646,0.485
35,Kevin Garnett,1997,2014,TOT,NBA,143,4.6,143,5283,1059,2216,1044,2161,15,55,468,593,320,1214,1534,471,178,186,342,431,2601,0.478,0.483,0.273,0.481,0.789,0.525
36,Paul George,2011,2018,TOT,NBA,71,4.6,71,2763,443,1051,288,627,155,424,341,422,67,441,508,275,120,41,212,225,1382,0.422,0.459,0.366,0.495,0.808,0.559
37,DeJuan Blair,2010,2014,TOT,NBA,42,4.5,0,374,77,141,77,141,0,0,24,42,55,81,136,17,25,7,11,62,178,0.546,0.546,,0.546,0.571,0.558
38,Clint Capela,2015,2018,HOU,NBA,50,4.5,28,976,165,266,165,265,0,1,67,128,108,247,355,41,28,75,29,90,397,0.62,0.623,0,0.62,0.523,0.616
39,Julius Erving,1980,1987,PHI,NBA,103,4.5,30,3800,806,1699,799,1663,7,36,504,651,250,455,705,416,161,181,323,306,2123,0.474,0.48,0.194,0.476,0.774,0.535
40,Danny Green,2011,2018,SAS,NBA,100,4.5,94,2504,305,708,114,248,191,460,42,59,54,269,323,116,101,85,85,196,843,0.431,0.46,0.415,0.566,0.712,0.574
Rk,Player,From,To,Tm,Lg,G,BPM,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,Anfernee Hardaway,1994,2004,TOT,NBA,64,4.5,63,2640,456,1018,355,752,101,266,291,390,101,202,303,394,119,48,188,197,1304,0.448,0.472,0.38,0.498,0.746,0.548
42,Andrew Bogut,2006,2016,TOT,NBA,58,4.4,57,1304,149,265,149,262,0,3,21,58,136,304,440,105,34,87,75,201,319,0.562,0.569,0,0.562,0.362,0.549
43,Elton Brand,2006,2015,TOT,NBA,40,4.4,30,1143,206,399,206,398,0,1,92,128,92,160,252,64,25,63,40,104,504,0.516,0.518,0,0.516,0.719,0.553
44,Kobe Bryant,1997,2012,LAL,NBA,220,4.4,200,8641,2014,4499,1722,3617,292,882,1320,1617,230,889,1119,1040,310,144,647,660,5640,0.448,0.476,0.331,0.48,0.816,0.541
45,Pau Gasol,2004,2018,TOT,NBA,136,4.4,122,4825,812,1600,801,1563,11,37,463,625,373,873,1246,438,71,233,250,356,2098,0.508,0.512,0.297,0.511,0.741,0.559
46,Reggie Miller,1990,2005,IND,NBA,144,4.3,144,5308,941,2095,621,1275,320,820,770,862,77,339,416,357,146,34,257,275,2972,0.449,0.487,0.39,0.526,0.893,0.601
47,Chauncey Billups,2001,2013,TOT,NBA,146,4.2,143,5321,737,1793,470,1064,267,729,785,892,71,421,492,831,148,23,322,373,2526,0.411,0.442,0.366,0.485,0.88,0.578
48,Jrue Holiday,2011,2018,TOT,NBA,30,4.2,27,1085,193,426,145,302,48,124,75,93,31,103,134,165,42,16,65,59,509,0.453,0.48,0.387,0.509,0.806,0.545
49,Cedric Maxwell,1980,1988,TOT,NBA,102,4.2,0,2731,375,688,375,686,0,2,366,471,233,320,553,194,74,50,172,260,1116,0.545,0.547,0,0.545,0.777,0.623
50,Joakim Noah,2009,2015,CHI,NBA,60,4.2,60,2101,228,490,228,490,0,0,123,182,237,422,659,167,58,106,106,218,579,0.465,0.465,,0.465,0.676,0.508
51,Hersey Hawkins,1989,2001,TOT,NBA,74,4.1,68,2529,326,716,227,466,99,250,292,322,74,212,286,195,119,29,122,188,1043,0.455,0.487,0.396,0.524,0.907,0.608
52,Bobby Jones,1980,1986,PHI,NBA,97,4.1,16,2594,408,767,408,764,0,3,281,340,160,274,434,209,94,129,148,303,1097,0.532,0.534,0,0.532,0.826,0.598
53,Bob Lanier,1980,1984,MIL,NBA,45,4.1,,1453,276,526,276,525,0,1,128,178,96,246,342,159,43,45,105,151,680,0.525,0.526,0,0.525,0.719,0.563
54,Bryon Russell,1994,2005,TOT,NBA,105,4.1,63,3081,355,806,229,461,126,345,202,266,89,355,444,135,110,28,85,249,1038,0.44,0.497,0.365,0.519,0.759,0.562
55,John Stockton,1985,2003,UTA,NBA,182,4.1,165,6398,855,1809,744,1468,111,341,615,759,162,446,608,1839,338,50,517,539,2436,0.473,0.507,0.326,0.503,0.81,0.568
56,Micheal Williams,1989,1998,TOT,NBA,16,4.1,8,353,54,123,50,111,4,12,63,74,11,24,35,79,27,1,22,50,175,0.439,0.45,0.333,0.455,0.851,0.562
57,Horace Grant,1988,2002,TOT,NBA,170,4,160,6172,786,1483,785,1475,1,8,334,468,549,908,1457,360,171,173,184,515,1907,0.53,0.532,0.125,0.53,0.714,0.565
58,Grant Hill,1996,2013,TOT,NBA,39,4,37,1232,200,426,195,405,5,21,118,151,43,195,238,140,35,19,79,108,523,0.469,0.481,0.238,0.475,0.781,0.531
59,Dirk Nowitzki,2001,2016,DAL,NBA,145,4,145,5895,1220,2642,1071,2234,149,408,1074,1204,212,1234,1446,360,149,129,328,407,3663,0.462,0.479,0.365,0.49,0.892,0.577
60,Tiago Splitter,2011,2015,SAS,NBA,65,4,40,1245,155,271,155,269,0,2,99,169,94,185,279,89,43,31,60,144,409,0.572,0.576,0,0.572,0.586,0.592
Rk,Player,From,To,Tm,Lg,G,BPM,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
61,Gus Williams,1980,1986,TOT,NBA,39,4,9,1533,372,765,363,726,9,39,157,208,56,67,123,267,76,16,105,79,910,0.486,0.5,0.231,0.492,0.755,0.531
62,Jeff Hornacek,1989,2000,TOT,NBA,140,3.9,140,4766,741,1578,619,1296,122,282,488,551,136,391,527,525,170,25,231,384,2092,0.47,0.478,0.433,0.508,0.886,0.575
63,Andrei Kirilenko,2002,2014,TOT,NBA,55,3.9,36,1491,169,380,159,332,10,48,132,172,75,137,212,105,65,87,73,133,480,0.445,0.479,0.208,0.458,0.767,0.527
64,Jeff Ruland,1982,1986,WSB,NBA,17,3.9,3,640,110,211,110,207,0,4,93,120,62,101,163,67,14,13,71,60,313,0.521,0.531,0,0.521,0.775,0.593
65,Ron Harper,1988,2001,TOT,NBA,112,3.8,98,3000,397,883,340,688,57,195,162,232,126,291,417,305,141,76,121,245,1013,0.45,0.494,0.292,0.482,0.698,0.514
66,Larry Nance,1982,1993,TOT,NBA,68,3.8,41,2428,440,813,440,812,0,1,190,256,184,351,535,160,59,144,108,220,1070,0.541,0.542,0,0.541,0.742,0.578
67,Andre Roberson,2014,2017,OKC,NBA,25,3.8,23,665,64,135,45,81,19,54,11,41,43,91,134,23,35,36,18,60,158,0.474,0.556,0.352,0.544,0.268,0.516
68,Greg Stiemsma,2012,2015,TOT,NBA,20,3.8,0,145,14,20,14,20,0,0,5,8,9,32,41,5,4,11,4,26,33,0.7,0.7,,0.7,0.625,0.702
69,Kareem Abdul-Jabbar,1980,1989,LAL,NBA,158,3.7,90,5327,1370,2557,1370,2553,0,4,640,846,355,833,1188,446,140,354,404,543,3380,0.536,0.537,0,0.536,0.757,0.577
70,Giannis Antetokounmpo,2015,2018,MIL,NBA,19,3.7,19,724,155,304,147,279,8,25,80,124,30,136,166,84,26,25,48,67,398,0.51,0.527,0.32,0.523,0.645,0.555
71,Jeff Foster,2001,2011,IND,NBA,53,3.7,19,893,84,151,82,146,2,5,37,56,123,170,293,35,28,29,39,111,207,0.556,0.562,0.4,0.563,0.661,0.589
72,Blake Griffin,2012,2017,LAC,NBA,51,3.7,50,1812,415,844,408,821,7,23,236,326,110,326,436,201,55,46,129,173,1073,0.492,0.497,0.304,0.496,0.724,0.543
73,Shawn Kemp,1991,2003,TOT,NBA,88,3.7,78,2937,514,1032,511,1017,3,15,491,616,314,539,853,161,99,137,275,346,1522,0.498,0.502,0.2,0.5,0.797,0.584
74,Jason Maxiell,2007,2009,DET,NBA,35,3.7,6,581,67,107,67,106,0,1,32,64,39,75,114,20,20,32,19,74,166,0.626,0.632,0,0.626,0.5,0.614
75,Karl Malone,1986,2004,TOT,NBA,193,3.6,193,7907,1743,3768,1737,3731,6,37,1269,1725,502,1560,2062,610,258,135,550,662,4761,0.463,0.466,0.162,0.463,0.736,0.526
76,Patrick McCaw,2017,2018,GSW,NBA,17,3.6,3,186,22,50,14,26,8,24,11,13,10,25,35,16,10,3,3,15,63,0.44,0.538,0.333,0.52,0.846,0.565
77,Jason Richardson,2007,2012,TOT,NBA,37,3.6,37,1262,231,497,136,262,95,235,76,105,51,149,200,50,40,13,43,96,633,0.465,0.519,0.404,0.56,0.724,0.583
78,John Salley,1987,2000,TOT,NBA,134,3.6,6,2694,296,586,296,584,0,2,265,384,244,344,588,104,49,159,107,420,857,0.505,0.507,0,0.505,0.69,0.568
79,Ray Allen,1999,2014,TOT,NBA,171,3.5,121,6064,928,2095,543,1136,385,959,508,575,138,510,648,449,164,41,274,402,2749,0.443,0.478,0.401,0.535,0.883,0.585
80,Mike Conley,2011,2017,MEM,NBA,56,3.5,56,2093,321,776,251,555,70,221,213,269,29,176,205,377,81,12,119,127,925,0.414,0.452,0.317,0.459,0.792,0.517
Rk,Player,From,To,Tm,Lg,G,BPM,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
81,Al Horford,2008,2018,TOT,NBA,111,3.5,110,3849,628,1234,572,1098,56,136,216,277,220,675,895,380,91,136,179,279,1528,0.509,0.521,0.412,0.532,0.78,0.563
82,Dwight Howard,2007,2017,TOT,NBA,95,3.5,95,3514,626,1069,626,1065,0,4,497,912,383,932,1315,132,84,234,295,381,1749,0.586,0.588,0,0.586,0.545,0.595
83,Kyrie Irving,2015,2017,CLE,NBA,52,3.5,52,1891,455,978,333,684,122,294,211,241,38,122,160,243,76,32,116,113,1243,0.465,0.487,0.415,0.528,0.876,0.573
84,Toni Kukoc,1994,2006,TOT,NBA,99,3.5,32,2664,386,878,278,562,108,316,184,264,104,283,387,317,95,29,141,215,1064,0.44,0.495,0.342,0.501,0.697,0.535
85,Sam Lacey,1980,1981,KCK,NBA,18,3.5,,634,68,164,67,160,1,4,33,39,36,106,142,93,35,25,47,74,170,0.415,0.419,0.25,0.418,0.846,0.469
86,Johnny Moore,1981,1990,SAS,NBA,41,3.5,5,1084,193,394,183,362,10,32,69,101,41,91,132,344,70,13,74,121,465,0.49,0.506,0.313,0.503,0.683,0.53
87,John Wall,2014,2018,WAS,NBA,37,3.5,37,1434,286,682,251,551,35,131,203,247,20,139,159,364,64,41,145,84,810,0.419,0.456,0.267,0.445,0.822,0.512
88,Al-Farouq Aminu,2015,2018,TOT,NBA,24,3.4,17,766,117,248,62,120,55,128,45,61,54,139,193,35,25,24,42,63,334,0.472,0.517,0.43,0.583,0.738,0.608
89,Kyle Anderson,2016,2018,SAS,NBA,30,3.4,2,397,56,109,52,92,4,17,17,22,19,64,83,35,22,6,14,29,133,0.514,0.565,0.235,0.532,0.773,0.56
90,Vlade Divac,1990,2004,TOT,NBA,121,3.4,113,3728,541,1128,528,1074,13,54,373,510,307,606,913,286,117,165,260,439,1468,0.48,0.492,0.241,0.485,0.731,0.543
91,Channing Frye,2009,2017,TOT,NBA,49,3.4,0,862,120,261,44,90,76,171,29,33,16,140,156,34,21,22,15,103,345,0.46,0.489,0.444,0.605,0.879,0.626
92,Fred Hoiberg,1998,2004,TOT,NBA,24,3.4,0,478,44,98,21,48,23,50,17,18,10,63,73,26,20,0,8,32,128,0.449,0.438,0.46,0.566,0.944,0.604
93,Andre Iguodala,2005,2018,TOT,NBA,122,3.4,66,4051,477,1060,344,682,133,378,244,409,128,480,608,486,169,46,192,239,1331,0.45,0.504,0.352,0.513,0.597,0.537
94,Eddie Jones,1995,2008,TOT,NBA,81,3.4,66,2765,348,804,224,480,124,324,217,277,57,270,327,197,105,61,107,239,1037,0.433,0.467,0.383,0.51,0.783,0.56
95,Kevon Looney,2018,2018,GSW,NBA,17,3.4,4,348,34,65,34,63,0,2,8,17,38,45,83,18,13,8,8,46,76,0.523,0.54,0,0.523,0.471,0.524
96,Kevin McHale,1981,1993,BOS,NBA,169,3.4,84,5716,1204,2145,1196,2124,8,21,766,972,456,797,1253,274,65,281,326,571,3182,0.561,0.563,0.381,0.563,0.788,0.618
97,Jamario Moon,2008,2010,TOT,NBA,19,3.4,3,257,30,58,16,29,14,29,3,6,12,37,49,10,11,9,4,19,77,0.517,0.552,0.483,0.638,0.5,0.635
98,Chris Morris,1992,1999,TOT,NBA,69,3.4,24,1142,173,389,134,257,39,132,63,84,72,152,224,53,46,32,45,115,448,0.445,0.521,0.295,0.495,0.75,0.526
99,Jameer Nelson,2007,2012,ORL,NBA,44,3.4,39,1429,237,532,164,336,73,196,114,144,26,128,154,204,37,3,90,130,661,0.445,0.488,0.372,0.514,0.792,0.555
100,Vince Carter,2000,2017,TOT,NBA,88,3.3,66,3033,557,1340,438,988,119,352,360,452,131,346,477,295,94,47,168,257,1593,0.416,0.443,0.338,0.46,0.796,0.518